zip,reportingyear,ziptype,cityname,statename,stateabbr,enc_zip,zcta_use
01452,2015,ZIP Code Area,Hubbardston,NA,MA,01452,01452
01453,2015,ZIP Code Area,Leominster,NA,MA,01453,01453
01460,2015,ZIP Code Area,Littleton,NA,MA,01460,01460
01462,2015,ZIP Code Area,Lunenburg,NA,MA,01462,01462
01463,2015,ZIP Code Area,Pepperell,NA,MA,01463,01463
01464,2015,ZIP Code Area,Shirley,NA,MA,01464,01464
01467,2015,Post Office or large volume customer,Still River,NA,MA,01451,01467
01468,2015,ZIP Code Area,Templeton,NA,MA,01468,01468
01469,2015,ZIP Code Area,Townsend,NA,MA,01469,01469
01470,2015,Post Office or large volume customer,Groton,NA,MA,01450,01450
01471,2015,Post Office or large volume customer,Groton,NA,MA,01450,01450
01472,2015,Post Office or large volume customer,West Groton,NA,MA,01464,01464
01473,2015,ZIP Code Area,Westminster,NA,MA,01473,01473
01474,2015,ZIP Code Area,West Townsend,NA,MA,01474,01474
01475,2015,ZIP Code Area,Winchendon,NA,MA,01475,01475
01477,2015,Post Office or large volume customer,Winchendon Springs,NA,MA,01475,01475
01501,2015,ZIP Code Area,Auburn,NA,MA,01501,01501
01503,2015,ZIP Code Area,Berlin,NA,MA,01503,01503
01504,2015,ZIP Code Area,Blackstone,NA,MA,01504,01504
01505,2015,ZIP Code Area,Boylston,NA,MA,01505,01505
01506,2015,ZIP Code Area,Brookfield,NA,MA,01506,01506
01507,2015,ZIP Code Area,Charlton,NA,MA,01507,01507
01508,2015,Post Office or large volume customer,Charlton City,NA,MA,01507,01507
01509,2015,Post Office or large volume customer,Charlton Depot,NA,MA,01507,01507
01510,2015,ZIP Code Area,Clinton,NA,MA,01510,01510
01515,2015,ZIP Code Area,East Brookfield,NA,MA,01515,01515
01516,2015,ZIP Code Area,Douglas,NA,MA,01516,01516
01517,2015,Post Office or large volume customer,East Princeton,NA,MA,01541,01541
01518,2015,ZIP Code Area,Fiskdale,NA,MA,01518,01518
01519,2015,ZIP Code Area,Grafton,NA,MA,01519,01519
01520,2015,ZIP Code Area,Holden,NA,MA,01520,01520
01521,2015,ZIP Code Area,Holland,NA,MA,01521,01521
01522,2015,ZIP Code Area,Jefferson,NA,MA,01522,01522
01523,2015,ZIP Code Area,Lancaster,NA,MA,01523,01523
01524,2015,ZIP Code Area,Leicester,NA,MA,01524,01524
01525,2015,Post Office or large volume customer,Linwood,NA,MA,01588,01525
01526,2015,Post Office or large volume customer,Manchaug,NA,MA,01590,01590
01527,2015,ZIP Code Area,Millbury,NA,MA,01527,01527
01529,2015,ZIP Code Area,Millville,NA,MA,01529,01529
01531,2015,ZIP Code Area,New Braintree,NA,MA,01531,01531
01532,2015,ZIP Code Area,Northborough,NA,MA,01532,01532
01534,2015,ZIP Code Area,Northbridge,NA,MA,01534,01534
01535,2015,ZIP Code Area,North Brookfield,NA,MA,01535,01535
01536,2015,ZIP Code Area,North Grafton,NA,MA,01536,01536
01537,2015,ZIP Code Area,North Oxford,NA,MA,01537,01537
01538,2015,Post Office or large volume customer,North Uxbridge,NA,MA,01569,01569
01540,2015,ZIP Code Area,Oxford,NA,MA,01540,01540
01541,2015,ZIP Code Area,Princeton,NA,MA,01541,01541
01542,2015,ZIP Code Area,Rochdale,NA,MA,01542,01542
